filename,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19
strawberry guy - mrs magic.wav,-96.03836,138.7451,-15.113699,33.339424,-3.4636014,5.1542697,-4.1761603,-1.463383,-3.014446,-0.46315593,-4.4045777,-0.16248184,-8.385147,-4.7052236,-4.0079937,-1.5556183,-5.833235,0.65785736,-5.154948,-3.306888
inside out - duster.wav,-122.225525,178.94028,-11.22734,38.99299,-5.554279,24.530329,3.3692145,2.487202,-2.5529752,3.3364575,-8.639162,-3.1709023,-1.6380186,-0.6485963,-5.159982,-3.0094273,-6.171276,-11.166142,-8.183587,-5.0491114
system of a down - toxicity.wav,-58.41145,80.49588,-15.167278,32.308743,6.5158067,11.966914,6.6208286,7.6788955,2.8155193,6.2462254,0.13204034,4.660112,-4.6661077,-2.7502477,-2.0047848,4.081448,-5.110903,1.0780348,0.22493006,0.06950423
numb - linkin park.wav,-5.476403,82.110085,-12.0675745,20.811234,1.0451065,6.354543,-1.4341778,6.1740074,2.163634,6.482543,1.8323354,4.661848,-0.48867232,3.2078602,-2.1521347,3.6401727,-1.369867,5.3629117,2.4179523,6.320161
the ghost of you - mcr.wav,-21.386084,86.529724,-14.834816,18.575758,-5.2352915,7.5490055,0.3990962,3.3959193,1.6579238,6.7546153,1.9378562,2.098393,-1.7018722,0.5513346,-2.9618244,1.0512261,-5.3179255,2.801718,0.002751349,4.899832
strawberry guy - birch tree.wav,-103.842354,121.22421,12.301569,31.882488,13.564575,15.95761,-1.9054981,-6.698568,-5.216472,6.892385,-10.779245,-4.1462693,-5.8483915,5.044326,-0.99581647,-4.2188244,-4.5403275,6.54422,-5.8147407,0.9508647
lonely day - system of a down.wav,-65.21571,96.522736,-17.84123,33.24884,-0.13662338,2.9250293,-1.448994,-5.3694706,-5.5430636,7.5680566,0.7105588,2.425308,-4.626604,-4.0902715,-8.707311,0.38541445,-5.4756074,-2.121269,-3.4866948,-2.0583246
i_hate_everythings_about_you.wav,-44.2441,92.68377,-11.458542,34.7395,5.111871,8.245869,3.2679646,5.7853575,4.0083704,3.7308095,0.5742976,5.251251,-3.7236784,-0.73658943,-2.7643318,1.7683401,-3.2082028,0.5010857,-4.344357,-1.3826958
safe in your skin - title fight.wav,-153.52304,143.11313,-26.635105,39.82119,6.2473626,0.057561964,-0.49178118,-1.0763087,-7.0415335,-2.197398,-3.7346654,-0.7596687,-7.506719,-5.200064,-5.259324,-4.8484125,-6.856058,-6.1606245,-1.4551692,0.7234424
show_me_how.wav,-193.32927,154.7648,34.276825,29.800833,12.787647,2.7540824,3.7837794,3.931211,0.5053843,1.3721701,-0.8015487,5.9640665,-2.4532793,0.6264381,-4.078847,0.6402291,-3.5893946,-5.016904,-4.520374,-0.8098545
heart-shaped box - nirvana.wav,-105.71498,119.040436,-5.4038253,34.00819,17.057653,4.785887,-1.288422,5.366815,-6.0319877,2.3355145,-4.3190165,4.81193,-4.8982124,-1.6400247,-2.7029755,-2.648908,-5.1786966,-0.03121057,-4.6299877,-3.7046301
Francis forever by Mitski.wav,-122.53087,87.6386,10.596269,31.011105,7.583832,14.781918,8.4826765,12.072751,8.004405,8.745164,0.581431,6.924949,-1.6165454,-0.6807318,-1.731383,-0.94579625,-1.0131643,0.36908108,-1.4681412,1.527315
i was all over her.wav,-219.10022,184.16217,37.155537,39.107086,17.153383,11.337167,8.502324,3.0747423,-1.5258523,0.15788831,-1.9978777,0.6990791,-0.6722978,3.6499403,0.95853645,-1.4906101,-4.7298574,-6.405213,0.9081027,0.73564494
alone_in_the_room.wav,-33.21936,90.58414,-10.358652,17.43807,0.21670803,10.504489,-2.884767,2.5144162,-2.6938844,3.9487429,-2.1323218,7.028693,-3.5417273,1.686969,-2.0388012,5.216422,-1.8944807,3.886447,-2.511604,1.4433507
burn it down - linkin park.wav,-60.50092,84.26516,-5.0756273,15.057509,3.0136206,3.961977,-4.5489726,5.5886846,-3.258735,6.734217,-4.883746,1.7252274,-3.1769643,1.823572,-1.1725926,-1.3612576,-1.7654681,-0.3229902,-3.3513513,2.1727867
somewhere_i_belong.wav,-1.8879368,83.910324,-12.644842,26.613716,5.887162,8.749568,3.0331063,7.9605136,1.4562631,6.6925077,-0.20814678,4.4728217,-1.5352864,2.931884,-3.776247,5.523947,-2.9189348,3.3537397,0.026638234,2.5394502
young_vacation.wav,-38.99433,114.061424,-17.805796,34.19864,17.088104,10.964969,-1.4578615,2.9642687,-7.757801,7.2796736,0.726506,4.629177,-0.5335825,-1.1676971,0.4768777,1.2927213,-9.197091,3.0754168,-3.8342023,-0.5531144
sweet - cigarettes after sex.wav,-116.79985,121.14027,23.749079,31.11018,18.355402,14.243731,5.3636785,11.659441,-6.0934825,3.9423504,5.0826144,9.742902,-6.5210757,7.2330117,-3.9785085,1.9743161,-2.635031,2.331461,-3.1409237,3.6904116
reidenshi - november 8.wav,-272.7365,175.12602,-15.449232,5.743619,5.6529703,-0.7504803,-5.4556856,-9.430139,-8.041008,-10.741902,-1.2584709,-6.0130415,-15.300742,-12.358934,-10.686054,-8.589655,-5.1620603,-6.800228,-6.4537807,-3.6339545
jaded_yot_club.wav,-80.452545,120.005455,-37.339333,33.438778,-5.0167975,9.5365715,-6.2750597,6.513688,-3.0380025,0.22978882,1.9199655,4.827365,0.95714146,2.034807,0.38379088,3.872354,-2.158532,1.2384448,-1.5545077,0.5623227
can_you_feel_my_heart.wav,-6.6109295,88.30324,-18.592173,18.973621,1.7625309,10.339702,1.8061275,6.769594,-3.1396275,2.2703187,-5.931204,1.319835,-1.7537563,6.765289,-0.684543,1.396732,-4.220725,-0.7276037,-2.4926636,3.8330727
come as you are - nirvana.wav,-40.2788,80.70624,1.2469219,36.82444,8.378337,7.9227543,0.5979409,7.8988705,-1.9353656,8.293193,0.8733144,7.258334,-8.179066,-3.2918625,-1.8179139,-0.7342573,-6.894816,0.63063467,0.9228707,-3.9856665
nico and the niners.wav,-132.51918,95.005936,-2.4758852,25.042955,4.5957747,6.014303,2.25362,1.409757,-4.498887,6.0391264,-3.0634723,6.5683994,0.57985306,1.7109548,-3.0650716,-0.48691228,-5.358286,-1.1190162,-6.8807364,-0.6845292
apocalypse.wav,-112.672005,120.47284,15.347742,20.737064,13.727109,7.0757594,1.1193079,11.129809,-5.3944707,2.7052317,1.0301111,3.409954,-3.3539693,9.134713,-4.4316564,1.3891637,-4.330048,2.2790058,-5.270861,4.5719466
loser monologue.wav,-283.49518,198.63509,37.464424,29.937115,22.71188,10.120831,13.275005,3.9774103,-0.112147525,3.1413987,1.7037033,0.77720743,-2.7618742,-2.406115,-4.9164867,-4.0340567,-6.87504,-7.7665105,-2.408526,-2.0066679
heavydirtysoul.wav,-57.139194,71.59676,-1.5878493,16.403587,-0.375709,5.8416395,-1.330939,4.2831774,-3.1335456,4.356347,-4.1339593,2.992264,-1.7864289,-0.81992364,-5.1210933,-1.0828668,-3.1182106,3.7547576,-2.8091567,2.9256823
mcr - the sharpest lives.wav,5.886601,72.405426,-7.7833323,32.902332,5.2622695,12.345806,0.664235,7.141122,1.2089887,6.3902245,-0.8427387,5.5243587,-3.9757793,-0.16628034,-1.633473,1.3638097,-2.4979122,1.0107001,-2.1972165,3.0251791
mac demarco - no other heart.wav,-103.73114,135.58218,16.583235,28.660398,-5.189325,5.974076,-4.1086144,3.029639,-11.086192,5.75575,-4.228723,2.0124183,-0.7155246,-1.2323225,-6.4801645,-2.820825,-6.932016,1.0728605,-2.324469,-2.731715
mcr - helena.wav,13.868387,77.89032,-13.196945,27.350428,-5.1830864,7.9192166,-1.2657428,5.8249826,2.4960895,5.7906866,0.0707376,3.8013487,-3.6994276,-0.027839934,-3.6676602,3.271123,-4.6683846,2.9313152,1.2177991,1.4084007
sigarettes after sex - heavenly.wav,-109.87965,132.71849,28.393583,20.609644,7.6474786,8.760019,-2.1991253,3.6019664,-0.8000224,2.473949,-1.0241419,0.739476,-2.2426355,2.3032565,-0.30861706,-3.171804,-2.2636485,-1.2563603,-2.4318886,0.70616037
from_the_subway_train.wav,-189.8321,148.0255,3.31194,17.621014,-1.5992749,1.2288117,-6.4323244,-5.073301,-1.7557436,7.720037,2.5066094,7.6660895,-1.929263,-4.1955895,2.9912806,4.826987,4.6021166,11.06658,0.76710445,2.227646
creep - radiohead.wav,-135.92941,77.9227,15.546228,35.91331,25.06115,12.761825,3.3509634,11.359,0.47019807,2.8314447,-2.9361877,5.8957396,-2.005109,-2.1610508,-5.989529,1.356593,-4.335857,-3.2205956,-6.421808,-0.09345249
in_the_end_bvb.wav,-6.008751,76.998955,-18.514141,28.798595,0.8304397,8.257585,2.362463,8.905501,3.3527873,3.834342,1.1970861,3.71765,0.8359704,1.9333776,0.21156023,2.8734095,-3.772388,3.5525022,-1.3021356,1.7915195
going_under.wav,-18.962408,80.14954,-23.228998,32.75415,4.722511,5.6579623,4.4520082,0.9881344,3.4087408,2.2347448,-4.910378,4.8271594,-1.7514279,3.2802424,-1.1150309,3.3423922,-3.0716958,1.9712029,-1.5807433,7.6518855
linking park - crawling.wav,-66.83179,85.97428,-19.20011,16.496485,3.2750595,5.3964586,4.7853556,8.636207,3.7406466,6.3823724,-0.7017104,2.647397,-4.184635,1.1254576,-3.844358,1.8656529,-2.3471608,4.0961943,-1.982238,1.0187116
faint - linkin park.wav,-3.9236474,69.68632,-29.525509,15.424746,-3.1007092,2.0953245,-0.4911117,2.4476905,-1.2008114,0.61777335,-3.4036157,0.7276228,-7.226796,-0.10743194,-3.9543352,4.443159,-2.3976102,1.093717,-1.5406053,-3.5474951
your face - wisp.wav,-78.32938,130.71198,-31.849703,34.302963,10.698319,4.2298555,0.26321644,1.5676705,7.1390824,2.79436,-2.594623,-1.0474787,-0.95439166,-4.3552265,-5.220809,0.6987108,-7.201191,-6.732168,0.19341715,1.353967
romantic homicide by d4vd.wav,-120.672806,142.20105,-19.227236,22.002577,4.8024864,5.427096,-1.8071488,3.3293335,-3.404467,1.1438272,-6.545186,1.5297563,-0.91369575,1.4478014,-0.54144824,-1.6157818,-2.5192626,0.5320359,-6.4550114,-0.316282
chamber of reflection - mac demarco.wav,-106.153656,129.46436,7.185283,5.424829,-0.014859385,18.040972,9.472099,8.201803,-5.12721,-0.23122779,-3.3416543,0.23591384,-3.7959173,2.090733,-1.7269485,1.5340962,-3.5654519,3.1338112,-0.38189548,6.8769145
strawberry guy - f song.wav,-140.32275,123.320885,-16.268211,36.59594,1.0155241,3.766526,-5.528958,-1.9152123,-13.272317,4.6050677,-7.838315,1.0508214,-7.567039,-2.30304,-2.0597758,-5.0433865,-11.563511,-4.3134327,-5.1921773,-2.7414584
what_would_i_do.wav,-117.726685,118.89435,-10.514606,52.95778,4.3990254,12.538827,4.9103723,-5.6625514,-9.705261,0.6483305,-3.9224427,-0.09718633,-5.410118,-4.4891496,0.2704138,2.572976,-8.05199,-3.1950698,0.071937986,0.6322644
everlong-foo fighters.wav,-29.148878,92.452934,-14.620838,30.62445,9.3327675,3.895112,1.5616864,7.4301276,2.724094,7.7651563,1.8845187,3.5172117,-1.3839929,1.268531,-1.2862487,4.5549245,-5.503026,0.4798566,0.899365,1.6672502
mac demarco -my kind of woman.wav,-68.76958,97.39275,-3.0676484,41.22556,-3.202557,3.92963,5.883673,3.437979,-5.3483896,2.8066957,5.2546554,0.7402746,-4.532739,3.717244,-3.7227328,1.9424007,-1.8999214,-1.7340794,-0.9538217,-1.5609905
\Ã˜neheart - this feeling.wav,-284.6809,208.03413,24.872562,12.186905,23.087484,4.3876395,1.2672423,3.8420777,4.9258347,3.7089436,3.473155,0.53439504,-3.4454887,2.9776258,2.4408298,-4.893116,-0.13945417,4.866908,3.3200905,1.389453
zombie.wav,-71.50071,86.98702,4.272357,46.65573,14.717554,5.746717,12.871202,10.045972,3.7211716,2.5008316,-0.58705604,3.1101487,-8.435774,-2.046357,-6.670574,0.67341566,-7.36828,-0.36513653,-0.91734195,-1.1335512
